,review_movie_title,review_username,review_rating
0,The Shawshank Redemption,hitchcockthelegend,10.0
1,The Shawshank Redemption,Sleepin_Dragon,10.0
2,The Shawshank Redemption,EyeDunno,10.0
3,The Shawshank Redemption,alexkolokotronis,10.0
4,The Shawshank Redemption,kaspen12,10.0
5,The Shawshank Redemption,TheLittleSongbird,10.0
6,The Shawshank Redemption,Coxer99,10.0
7,The Shawshank Redemption,baumer,10.0
8,The Shawshank Redemption,nowego,10.0
9,The Shawshank Redemption,gavin6942,10.0
10,The Shawshank Redemption,Leofwine_draca,10.0
11,The Shawshank Redemption,auuwws,10.0
12,The Shawshank Redemption,MrHeraclius,9.0
13,The Shawshank Redemption,schnad,10.0
14,The Shawshank Redemption,reismark,10.0
15,The Shawshank Redemption,classicsoncall,10.0
16,The Shawshank Redemption,speedreid,9.0
17,The Shawshank Redemption,bkoganbing,9.0
18,The Shawshank Redemption,weswalker,10.0
19,The Shawshank Redemption,Michael_Elliott,9.0
20,The Shawshank Redemption,lee_eisenberg,10.0
21,The Shawshank Redemption,KissEnglishPasto,10.0
22,The Shawshank Redemption,blairgallop7,10.0
23,The Shawshank Redemption,edwagreen,10.0
24,The Shawshank Redemption,Douglas-2,9.0
50,The Shawshank Redemption,bhester0806,10.0
51,The Shawshank Redemption,JamesHitchcock,9.0
52,The Shawshank Redemption,ethlaid,10.0
53,The Shawshank Redemption,Kirpianuscus,9.0
54,The Shawshank Redemption,hjpog,10.0
55,The Shawshank Redemption,Si Cole,8.0
56,The Shawshank Redemption,The Boz,9.0
57,The Shawshank Redemption,ProperCharlie,10.0
58,The Shawshank Redemption,Dave-79,10.0
59,The Shawshank Redemption,TIFF-sucks,9.0
60,The Shawshank Redemption,neil-476,10.0
61,The Shawshank Redemption,Xstal,8.0
62,The Shawshank Redemption,KORN-6,10.0
63,The Shawshank Redemption,saimaq-27868,10.0
64,The Shawshank Redemption,josephledbury,10.0
65,The Shawshank Redemption,DennisLittrell,8.0
66,The Shawshank Redemption,movibuf1962,9.0
67,The Shawshank Redemption,Tweekums,10.0
68,The Shawshank Redemption,ashi-lance,10.0
69,The Shawshank Redemption,rkeaney,10.0
70,The Shawshank Redemption,CinemaClown,9.0
71,The Shawshank Redemption,Kubrickfan15,10.0
72,The Shawshank Redemption,ma-cortes,9.0
73,The Shawshank Redemption,bevo-13678,10.0
74,The Shawshank Redemption,drdos43,10.0
125,The Shawshank Redemption,Morejambo54,9.0
126,The Shawshank Redemption,shahmatt,10.0
127,The Shawshank Redemption,maubejr,10.0
128,The Shawshank Redemption,kshihab-82620,10.0
129,The Shawshank Redemption,ellandanne,10.0
130,The Shawshank Redemption,djhenebury-1,10.0
131,The Shawshank Redemption,antoinepana,10.0
132,The Shawshank Redemption,AlsExGal,10.0
133,The Shawshank Redemption,simon-englin,9.0
134,The Shawshank Redemption,Food_For_Thought,10.0
135,The Shawshank Redemption,muzahid-13629,10.0
136,The Shawshank Redemption,Matador07,9.0
137,The Shawshank Redemption,jaesboxer,10.0
138,The Shawshank Redemption,bob the moo,9.0
