"review_movie_title","review_movie_title_url","review_name","review_url","review_comment","review_username","review_username_url","review_date","review_rating"
"The Shawshank Redemption","https://www.imdb.com/title/tt0111161/?ref_=tt_urv","Some birds aren't meant to be caged.","https://www.imdb.com/review/rw2284594/?ref_=tt_urv","890 out of 959 found this helpful. Was this review helpful? Sign in to vote.
Permalink","hitchcockthelegend","https://www.imdb.com/user/ur16161013/?ref_=tt_urv","24 July 2010","10"
"","","An incredible movie. One that lives with you.","https://www.imdb.com/review/rw6606154/?ref_=tt_urv","It is no wonder that the film has such a high rating, it is quite literally breathtaking. What can I say that hasn't said before? Not much, it's the story, the acting, the premise, but most of all, this movie is about how it makes you feel. Sometimes you watch a film, and can't remember it days later, this film loves with you, once you've seen it, you don't forget.
The ultimate story of friendship, of hope, and of life, and overcoming adversity.
I understand why so many class this as the best film of all time, it isn't mine, but I get it. If you haven't seen it, or haven't seen it for some time, you need to watch it, it's amazing. 10/10.
190 out of 203 found this helpful. Was this review helpful? Sign in to vote.
Permalink","Sleepin_Dragon","https://www.imdb.com/user/ur15311310/?ref_=tt_urv","17 February 2021","10"
"","","Don't Rent Shawshank.","https://www.imdb.com/review/rw1221355/?ref_=tt_urv","I'm trying to save you money; this is the last film title that you should consider borrowing. Renting Shawshank will cost you five bucks... just plunk down the $25 and own the title. You'll wind up going back to this gem time and time again. This is one of few movies that are truly timeless. And it's entertaining and moving, no matter how many times you view it.
Forget about what others (including myself) might suggest you'll discover in ""The Shawshank Redemption;"" when you watch it, you'll identify something very personal in your own life with a scene, a character, or a moment in this uncomplicated movie. When you need hope, you'll look for Shawshank. When you want to believe in the will of overcoming even the greatest obstacles, Shawshank will uplift you in ways that you can't find in movies today.
Some liken the film to some kind of spiritual awakening. Of course, some can go to a church or mosque to find enlightenment and Faith in humanity, but most places of worship are open only certain days or times. But when you need affirmation of the lasting bond of friendships that prevail over the most dire circumstances, Shawshank will give it to you. It makes grown men (like me) cry, still. I wonder whether Shawshank was truly meant for viewing in the privacy of the home, because it is a personal experience that really makes you look inward. Nominated for seven, this is the best film that never one a single Oscar.
How ironic that an innocent man winds up being surrounded by the corruption of the legal system. Shawshank itself is similar to the character of Andy Dufresne. Prejudging this classic film, critics couldn't get past the title. The public followed suit, initially dismissing Shawshank, which failed in the box office just like ""It's a Wonderful Life"" and ""Citizen Kane."" It could have just whithered away on the store shelves, like Andy Dufresne could have in his own cell. But the characters prevailed, because Andy -- And Shawshank -- stayed true. Now, these movies are right up there as the most popular films of all time.
Anyone who has yet to watch Shawshank may be so jaded of movies, or the film's title, or how a 2-1/2- hour movie set inside the walls of a prison can manage to tap the soul of such a wide range of people. Shawshank has not one explosion. I wonder if it even has a single special effect or digitally- enhanced frame.
But every aspect of Shawshank fit together. The acting from the top to the bit part. The musical score. The editing. The photography. The story, from opening credits to final scene. All involved, including the town of Mansfield, Ohio (where Shawshank was actually filmed) played their roles perfectly. Shawshank is a must- see, must- own title.","EyeDunno","https://www.imdb.com/user/ur0265899/?ref_=tt_urv","21 November 2005","10"
"","","This is How Movies Should Be Made","https://www.imdb.com/review/rw1822343/?ref_=tt_urv","This movie is not your ordinary Hollywood flick. It has a great and deep message. This movie has a foundation and just kept on being built on from their and that foundation is hope.
Other than just the message of this movie the acting was phenomenal. Tim Robbins gave one of the greatest performances ever. He was inspiring, intelligent and most of all positive. His performance just made me smile. Robbins plays Andy Dufresne who was wrongfully convicted of murdering his wife and her lover. He is gets to life sentences but yet never gives up hope. In he becomes friends with Ellis Boyd ""Red"" Redding played by Morgan Freeman. Freeman who gives the finest performance of his career has unlike Robbins lost hope. He is in deep regret of the crime that he committed. His way of deflecting the pain away is by trying to not feel anything at all. With his friendship with Andy he learns that without our hopes and dreams we have nothing. Andy also becomes friends with the rest of Red's group. James Whitmore also gave a great performance as Brooks Halten who gets out of prison parole but in the words of Red he has been ""institutionalized"".
The directing by Frank Darabont was just magnificent. He kept this movie at a great steady pace along with the writing and great cinematography. He portrayed prison life in such a horrifying way, but not in terms of the physical pain but the stress and pain that wares mentally on the inmates, some of which deserve a second chance.
Whatever you do, don't listen to the people who say this movie is overrated because this is one of the most inspiring and greatest movies ever. It has everything you could possibly want.","alexkolokotronis","https://www.imdb.com/user/ur16117882/?ref_=tt_urv","18 February 2008","10"
"The Shawshank Redemption","https://www.imdb.com/title/tt0111161/?ref_=tt_urv","A classic piece of unforgettable film-making.","https://www.imdb.com/review/rw1288098/?ref_=tt_urv","1,320 out of 1,485 found this helpful. Was this review helpful? Sign in to vote.
Permalink","kaspen12","https://www.imdb.com/user/ur1898687/?ref_=tt_urv","10 February 2006","10"
"The Shawshank Redemption","https://www.imdb.com/title/tt0111161/?ref_=tt_urv","Enthralling, fantastic, intriguing, truly remarkable!","https://www.imdb.com/review/rw2053711/?ref_=tt_urv","159 out of 184 found this helpful. Was this review helpful? Sign in to vote.
Permalink","TheLittleSongbird","https://www.imdb.com/user/ur20552756/?ref_=tt_urv","17 April 2009","10"
"","","The Shawshank Redemption","https://www.imdb.com/review/rw0348222/?ref_=tt_urv","One of the finest films made in recent years. It's a poignant story about hope. Hope gets me. That's what makes a film like this more than a movie. It tells a lesson about life. Those are the films people talk about 50 or even 100 years from you. It's also a story for freedom. Freedom from isolation, from rule, from bigotry and hate. Freeman and Robbins are majestic in their performances. Each learns from the other. Their relationship is strong and you feel that from the first moment they make contact with one another. There is also a wonderful performance from legend James Whitmore as Brooks.
He shines when it is his time to go back into the world, only to find that the world grew up so fast he never even got a chance to blink. Stephen King's story is brought to the screen with great elegance and excitement. It is an extraordinary motion that people ""will"" be talking about in 50 or 100 years.
872 out of 1,045 found this helpful. Was this review helpful? Sign in to vote.
Permalink","Coxer99","https://www.imdb.com/user/ur0257957/?ref_=tt_urv","25 March 1999","10"
"","","Stephen King's best adapted movie","https://www.imdb.com/review/rw0348302/?ref_=tt_urv","Misery and Stand By Me were the best adaptations up until this one, now you can add Shawshank to that list.
This is simply one of the best films ever made and I know I am not the first to say that and I certainly won't be the last. The standing on the IMDb is a true barometer of that. #3 as of this date and I'm sure it could be number 1. So I'll just skip all the normal praise of the film because we all know how great it is. But let me perhaps add that what I find so fascinating about Shawshank is that Stephen King wrote it.
King is one of the best writers in the world. Books like IT and the Castle Rock series are some of the greatest stories ever told. But his best adaptations are always done by the best directors. The Shining was brilliantly interpreted by Kubrick and of course the aforementioned Misery and Stand By Me are both by Rob Reiner. Now Frank Darabont comes onto the scene and makes arguably the best King film ever. He seems to understand what King wants to say and he conveys that beautifully.
What makes this film one of the best ever made is the message it conveys. It is one of eternal hope. Andy Dufresne, played by Tim Robbins, has been sent to prison for a crime he did not commit. But he never loses hope. He never gives up his quest to become a free man again. His years of tenacity, patience and wits keep him not only sane, but it gives his mind and a spirit a will to live. This film has a different feel to it. There has never been anything like it before and I don't know if there will again.
I'm not going to say any more about this film, it has already been said, but just suffice to say that I am glad that Forrest Gump won best picture in 94. I would have been equally glad if Pulp Fiction or Shawshank would have won. It is that good of a movie and one that will be appreciated for years to come.","baumer","https://www.imdb.com/user/ur0355122/?ref_=tt_urv","13 July 1999","10"
"","","Eternal Hope","https://www.imdb.com/review/rw4203332/?ref_=tt_urv","I've lost count of the number of times I have seen this movie, but it is more than 20. It has to be one of the best movies ever made. It made me take notice Morgan Freeman and Tim Robbins like I had never noticed any actors before.
I have from a very young age been a huge fan of anything Stephen King writes and had already read the short story that this movie is based on years prior to seeing this movie.
Not everything Stephen King has written that gets turned into a movie comes out well, but this is as close to perfection as it gets and has everything you could ever want in a movie.
Something that is outstanding is the fact that it has no real action, no special effects and no gimmicks. 99% of the movie is just men in a prison uniforms talking. Yet it absolutely hooks you almost from the beginning and has you glued to the screen to the end.
For me what really makes this film one of the best is the message of eternal hope it conveys throughout. The never ever give up hope attitude of the main character so well conveyed by Tim Robbins. The ending is just spine tingling every time I see it, no matter how many times I have seen it.
Brilliant, brilliant movie and a must see for everyone.","nowego","https://www.imdb.com/user/ur16749093/?ref_=tt_urv","15 June 2018","10"
"","","IMDb and the Greatest Film of All Time","https://www.imdb.com/review/rw3118520/?ref_=tt_urv","Two imprisoned men (Tim Robbins and Morgan Freeman) bond over a number of years, finding solace and eventual redemption through acts of common decency.
Is this the greatest film of all time? IMDb would have you believe so. Despite being a box office flop (that barely recouped its budget), the film received multiple award nominations and outstanding reviews from critics for its acting, story, and realism. It has since been successful on cable television, VHS, DVD, and Blu-ray.
And it deserves this praise that seems to be growing each year. Now twenty years old, the film has not aged a day, and instead seems to be getting better. This is Tim Robbins' best role, and a fine performance from the always wonderful Morgan Freeman.
71 out of 83 found this helpful. Was this review helpful? Sign in to vote.
Permalink","gavin6942","https://www.imdb.com/user/ur1234929/?ref_=tt_urv","6 November 2014","10"
"The Shawshank Redemption","https://www.imdb.com/title/tt0111161/?ref_=tt_urv","All-time prison film classic","https://www.imdb.com/review/rw3601108/?ref_=tt_urv","48 out of 56 found this helpful. Was this review helpful? Sign in to vote.
Permalink","Leofwine_draca","https://www.imdb.com/user/ur0482513/?ref_=tt_urv","18 December 2016","10"
